Credit Number,Region,Country,Credit Status,Service Charge Rate,Currency of Commitment,Project ID,Project Name,Original Principal Amount,Cancelled Amount,Undisbursed Amount,Disbursed Amount,Repaid to IDA,First Repayment Date,Last Repayment Date,Agreement Signing Date
IDA15390,AFRICA EAST,Uganda,Fully Repaid,0.75,XDR,P002914,AGRI.DEVEL.IFAD II,10000000,858533.88,0,12347395.8,13359257.53,05/15/1995,15/11/2034,12/02/1985
IDA15400,AFRICA EAST,"Congo, Democratic Republic of",Fully Repaid,0.75,XDR,P003048,MAIZE II/LULUA AGR D,12500000,6453817.91,0,8097840.82,9332188.34,05/15/1995,15/11/2034,22/04/1985
IDA15410,AFRICA EAST,Madagascar,Fully Repaid,0.75,XDR,P001502,IND.SECTOR LOAN II,40000000,12489.07,0,49131303.83,58706543.43,02/01/1995,01/08/2034,22/03/1985
IDA15420,EAST ASIA AND PACIFIC,Solomon Islands,Repaying,0.75,XDR,P004619,GUADALCANAL ROAD,2000000,142229.37,0,2247455.81,1654122.03,02/15/1995,15/08/2034,13/02/1985
IDA15430,MIDDLE EAST AND NORTH AFRICA,Djibouti,Repaying,0.75,XDR,P000611,EDUCATION,5000000,120290.2,0,6500547.5,4439861.38,04/15/1995,15/10/2034,21/03/1985
IDA15440,SOUTH ASIA,India,Repaying,0.75,XDR,P009841,BOMBAY URBAN DEVELOP,138000000,44300906.32,0,122009999.4,81250040.26,07/01/1995,01/01/2035,01/03/1985
IDA15450,AFRICA EAST,Zambia,Fully Repaid,0.75,XDR,P003187,AGRI REHAB.,25000000,847922.3,0,27038078.9,34860184.26,03/01/1995,01/09/2034,08/03/1985
IDA15460,AFRICA EAST,Rwanda,Fully Repaid,0.75,XDR,P002212,AGRI RESEARCH,11500000,2286633.55,0,12067462.76,13697547.34,02/15/1995,15/08/2034,04/03/1985
IDA15470,MIDDLE EAST AND NORTH AFRICA,"Yemen, Republic of",Repaying,0.75,XDR,P005795,IBY II,8000000,3457323.3,0,5911589.52,4043260.69,02/15/1995,15/08/2034,20/05/1985
IDA15480,AFRICA WEST,Equatorial Guinea,Repaying,0.75,XDR,P000638,COCOA REHAB,9300000,5483.46,0,11146704.5,7893250.75,08/15/1995,15/02/2035,28/02/1985
IDA15490,AFRICA EAST,Malawi,Fully Repaid,0.75,XDR,P001623,AGRI RES.,23800000,225463.36,0,32154524.89,35380497.97,06/15/1995,15/12/2034,23/05/1985
IDA15500,AFRICA WEST,Burkina Faso,Fully Repaid,0.75,XDR,P000269,FERTILIZER CREDIT,13700000,6080432.38,0,10225512.99,11214267.42,04/01/1995,01/10/2034,18/04/1985
IDA15510,EAST ASIA AND PACIFIC,China,Repaying,0.75,XDR,P003431,UNIVERSITY DEV.II,145000000,0,0,189756599.4,202792550.2,08/15/1995,15/02/2035,15/03/1985
IDA15520,SOUTH ASIA,India,Repaying,0.75,XDR,P009829,NARMADA (GUJARAT) DA,100000000,0,0,133290278.8,86642087.76,07/01/1995,01/01/2035,10/05/1985
IDA15530,SOUTH ASIA,India,Repaying,0.75,XDR,P009830,NARMADA (GUJARAT) CA,150000000,4816053.51,0,196610309,125748346,07/01/1995,01/01/2035,10/05/1985
IDA15540,AFRICA WEST,Senegal,Fully Repaid,0.75,XDR,P002323,WATER SUPPLY II,24000000,59443.22,0,29668317.96,35134257.81,03/15/1995,15/09/2034,01/04/1985
IDA15550,LATIN AMERICA AND CARIBBEAN,Guyana,Fully Repaid,0.75,XDR,P007235,AGRIC. FORESTRY,8800000,1496702.03,0,8821053.76,9840008.97,03/01/1995,01/09/2034,15/03/1985
IDA15560,MIDDLE EAST AND NORTH AFRICA,"Yemen, Republic of",Repaying,0.75,XDR,P005800,TECH.ASSIST.TO CPO,4700000,2519579.79,0,2834126.76,1891812.84,08/15/1995,15/02/2035,20/05/1985
IDA15570,MIDDLE EAST AND NORTH AFRICA,"Yemen, Republic of",Repaying,0.75,XDR,P005873,AGRIC. RESEARCH & EXT.,5000000,34090.51,0,6501455.81,4507005.86,06/15/1995,15/12/2034,11/06/1985
IDA15580,LATIN AMERICA AND CARIBBEAN,Grenada,Repaying,0.75,XDR,P007176,AGR REHAB & DVRS,5000000,29294.45,0,6305899.73,4432591.59,04/15/1995,15/10/2034,20/06/1985
IDA15590,AFRICA WEST,Guinea,Fully Repaid,0.75,XDR,P001037,TECHNICAL ASSISTANCE,9500000,1509.86,0,12024145.11,14798914.34,05/15/1995,15/11/2034,21/03/1985
IDA15600,AFRICA EAST,Uganda,Fully Repaid,0.75,XDR,P002917,POWER II,28800000,0,0,40168407.18,43124034.94,05/01/1995,01/11/2034,30/05/1985
IDA15610,AFRICA EAST,Uganda,Fully Repaid,0.75,XDR,P002915,PETRO.EXPL.PROMOT.,5100000,609787.41,0,6238263.79,6692677.71,05/01/1995,01/11/2034,30/05/1985
IDA15620,SOUTH ASIA,Sri Lanka,Repaying,0.75,XDR,P010213,TREE CROPS IV,55000000,0,0,73642669.74,48999804.21,09/01/1995,01/03/2035,09/05/1985
IDA15630,AFRICA WEST,Liberia,Fully Repaid,0.75,XDR,P001445,WATER SUPPLY II,5000000,2130462.28,0,3737195.32,4417652.55,05/01/1995,01/11/2034,21/10/1985
IDA15640,AFRICA WEST,Ghana,Fully Repaid,0.75,XDR,P000870,URBAN DEVELOPMENT,22000000,890040.38,0,27681185.12,31557732.8,05/15/1995,15/11/2034,29/03/1985
IDA15650,AFRICA EAST,Rwanda,Fully Repaid,0.75,XDR,P002213,TAS PUBLIC SECTOR MG,4800000,2024148.51,0,3683288.44,4139853.25,06/15/1995,15/12/2034,17/05/1985
IDA15660,AFRICA EAST,Kenya,Repaying,0.75,XDR,P001295,NAIROBI WATER EGR,6000000,36186.56,0,7433871.05,5341685.8,08/15/1995,15/02/2035,15/04/1985
IDA15670,AFRICA WEST,Mauritania,Fully Repaid,0.75,XDR,P001835,PUBLIC ENT TA & REHA,16400000,1436186.7,0,19869257.97,22521554.22,08/15/1995,15/02/2035,31/05/1985
IDA15680,AFRICA WEST,Togo,Fully Repaid,0.75,XDR,P002846,EDUCATION DEV.,12400000,3761.31,0,16978425.38,19695160.32,09/01/1995,01/03/2035,29/04/1985
IDA15690,SOUTH ASIA,India,Repaying,0.75,XDR,P009833,NAT. AGRIC. EXT. II,49000000,11882265.83,0,49853259.04,33067555.52,07/15/1995,15/01/2035,10/05/1985
IDA15700,SOUTH ASIA,Nepal,Repaying,0.75,XDR,P010214,AGRIC. EXTENSION II,7200000,1397452.84,0,8258515.44,5173580.34,09/01/1995,01/03/2035,10/06/1985
IDA15710,AFRICA WEST,Mauritania,Fully Repaid,0.75,XDR,P001832,SMALL SCALE IRRIGATI,7500000,1932270.49,0,7510548.5,8352812.51,04/15/1995,15/10/2034,31/05/1985
IDA15720,AFRICA WEST,Mauritania,Fully Repaid,0.75,XDR,P001834,IDF II,5250000,2852583.03,0,3145458.78,3604525.04,05/01/1995,01/11/2034,31/05/1985
IDA15730,AFRICA WEST,Ghana,Fully Repaid,0.75,XDR,P000867,RECONS.IMPORT CREDIT,60000000,0,0,72210956.96,89965407.66,08/15/1995,15/02/2035,05/04/1985
IDA15740,SOUTH ASIA,Bangladesh,Repaying,0.75,XDR,P009447,PRIMARY EDUC. II,78000000,6814781.92,0,94663618.55,63397114.12,09/15/1995,15/03/2035,02/05/1985
IDA15750,AFRICA EAST,Zambia,Fully Repaid,0.75,XDR,P003192,RWYS.IV,20000000,12374181.36,0,10991618.48,11426544.99,06/01/1995,01/12/2034,04/04/1985
IDA15760,AFRICA EAST,Ethiopia,Fully Repaid,0.75,XDR,P000720,DROUGHT RECOVERY,30000000,245729.83,0,35736845.63,45333946.2,09/15/1995,15/03/2035,22/04/1985
IDA15770,EAST ASIA AND PACIFIC,China,Repaying,0.75,XDR,P003428,SEEDS I,40000000,0,0,51971870.36,57138171.42,08/15/1995,15/02/2035,09/05/1985
IDA15780,EAST ASIA AND PACIFIC,China,Repaying,0.75,XDR,P003438,RURAL WATER S. I,80000000,0,0,104821209.8,112473555.3,09/15/1995,15/03/2035,09/05/1985
IDA15790,AFRICA WEST,Cabo Verde,Repaying,0.75,XDR,P000422,IDF,4000000,229095.18,0,5040687.7,3447145.46,05/01/1995,01/11/2034,06/06/1985
IDA15800,AFRICA WEST,Liberia,Fully Repaid,0.75,XDR,P001446,OIL EXPLOR.,2600000,1869154.06,0,883884.06,1142333.97,08/15/1995,15/02/2035,21/10/1985
IDA15810,AFRICA WEST,Central African Republic,Fully Repaid,0.75,XDR,P000450,TECH. ASSIST.II,8000000,20625.76,0,10696830.92,12817744.19,08/15/1995,15/02/2035,14/06/1985
IDA15820,EAST ASIA AND PACIFIC,Samoa,Repaying,0.75,XDR,P004855,DEV. BANK (ADB),2000000,242767.83,0,2386984.05,1602826.33,07/15/1995,15/01/2035,15/07/1985
IDA15830,AFRICA EAST,Burundi,Fully Repaid,0.75,XDR,P000189,HWYS.IV,18100000,357103.03,0,24144640.65,27449630.86,08/15/1995,15/02/2035,14/06/1985
IDA15840,MIDDLE EAST AND NORTH AFRICA,"Yemen, Republic of",Repaying,0.75,XDR,P005794,WADI AL JAWF AG.DEV.,10000000,8285300.36,0,2386515.73,1602234.32,06/15/1995,15/12/2034,24/09/1985
IDA15850,AFRICA EAST,Lesotho,Repaying,0.75,XDR,P001388,HEALTH/POP.,3500000,531823.91,0,4149422.98,2722055.65,10/01/1995,01/04/2035,24/07/1985
IDA15860,SOUTH ASIA,Bangladesh,Repaying,0.75,XDR,P009448,GAS DEVELOPMENT II,110000000,27939857.71,0,113185404.1,73073185.15,10/01/1995,01/04/2035,02/05/1985
IDA15870,SOUTH ASIA,Bangladesh,Repaying,0.75,XDR,P009488,FLOOD REHAB. CREDIT,30000000,0,0,37259124.04,27182653.62,10/15/1995,15/04/2035,02/05/1985
IDA15880,SOUTH ASIA,Nepal,Repaying,0.75,XDR,P010216,TELECOMS IV,22000000,1317359.8,0,26775556.46,17309753.27,06/01/1995,01/12/2034,10/04/1986
IDA15890,AFRICA EAST,Madagascar,Fully Repaid,0.75,XDR,P001501,IRRIGATION REHAB.,12000000,2470737.48,0,13425931.75,14611779.51,08/01/1995,01/02/2035,12/09/1985
IDA15900,AFRICA EAST,Sao Tome and Principe,Fully Repaid,0.75,XDR,P002532,MODERNIZATION LINE O,5000000,11407.74,0,6838541.28,7921101.1,05/15/1995,15/11/2034,14/08/1985
IDA15910,SOUTH ASIA,Bangladesh,Repaying,0.75,XDR,P009445,FLOOD CON. & DRAINAG,48000000,6681911.99,0,57754514.69,37490535.41,11/01/1995,01/05/2035,22/05/1985
IDA15920,LATIN AMERICA AND CARIBBEAN,Haiti,Fully Repaid,0.75,XDR,P007290,EDUCATION IV-A,10000000,2063216.5,0,10343326.67,12658280.89,11/01/1995,01/05/2035,14/06/1985
IDA15930,AFRICA EAST,Burundi,Fully Repaid,0.75,XDR,P000188,TRANS & DISTR.SYSTM.,12300000,3837114.19,0,11591999.61,13160604.24,07/15/1995,15/01/2035,14/06/1985
IDA15940,EAST ASIA AND PACIFIC,China,Repaying,0.75,XDR,P003447,ROADS I,30000000,0,0,37583186.32,42273771.31,10/15/1995,15/04/2035,05/09/1985
IDA15950,AFRICA WEST,Guinea,Fully Repaid,0.75,XDR,P001036,POWER ENGINEERING II,8000000,46233.38,0,10951091.44,12745316.63,11/01/1995,01/05/2035,12/06/1985
IDA15960,SOUTH ASIA,Bhutan,Repaying,0.75,XDR,P009571,CALCIUM CARBIDE,9000000,3667310.88,0,7160132.79,4843747.67,11/01/1995,01/05/2035,23/05/1985
IDA15970,AFRICA WEST,Mali,Fully Repaid,0.75,XDR,P001716,MOPTI AREA DEVT.,19500000,5707703.43,0,18249781.32,20363399.51,07/15/1995,15/01/2035,19/07/1985
IDA15980,AFRICA WEST,Burkina Faso,Fully Repaid,0.75,XDR,P000270,EDUCATION III,21600000,1339070.28,0,27655883.47,29859917.48,10/15/1995,15/04/2035,17/06/1985
IDA15990,AFRICA WEST,Togo,Fully Repaid,0.75,XDR,P002847,STRUC.ADJ. II,27800000,0,0,31936889.8,43270779.32,10/15/1995,15/04/2035,24/06/1985
IDA16000,AFRICA WEST,Togo,Fully Repaid,0.75,XDR,P002852,T.A. III,6200000,15307.01,0,8238643.57,9677326.72,10/15/1995,15/04/2035,24/06/1985
IDA16010,AFRICA WEST,Ghana,Fully Repaid,0.75,XDR,P000869,ROADS MAINTENANCE,40000000,180604.49,0,51864290.97,58739658.26,11/01/1995,01/05/2035,24/06/1985
IDA16020,SOUTH ASIA,Pakistan,Repaying,0.75,XDR,P010221,PRIMARY EDUCATION II,52500000,11775941.45,0,55372178.71,35737401.92,11/01/1995,01/05/2035,30/09/1985
IDA16030,SOUTH ASIA,Pakistan,Repaying,0.75,XDR,P010220,WATER MANAGEMENT II,34500000,0,0,45479309.07,30250720.96,11/01/1995,01/05/2035,30/09/1985
IDA16040,AFRICA EAST,Tanzania,Fully Repaid,0.75,XDR,P002744,PETRO.SECTOR.T.A,8000000,1763829.91,0,8027318.23,9221368.16,08/01/1995,01/02/2035,11/07/1985
IDA16050,EAST ASIA AND PACIFIC,China,Repaying,0.75,XDR,P003430,FORESTRY,47300000,5036523.28,0,55717961.54,58511240.16,09/15/1995,15/03/2035,05/09/1985
IDA16060,EAST ASIA AND PACIFIC,China,Repaying,0.75,XDR,P003441,PI SHI HANG AREA,75000000,0,0,97686674.63,105555766.8,10/01/1995,01/04/2035,08/10/1985
IDA16070,AFRICA WEST,Burkina Faso,Fully Repaid,0.75,XDR,P000271,HEALTH I,26600000,619656.97,0,35485167.25,38359327.25,08/15/1995,15/02/2035,17/06/1985
IDA16080,AFRICA EAST,"Congo, Democratic Republic of",Fully Repaid,0.75,XDR,P003050,HWYS.VI,55000000,6845697.71,0,67284485.29,74471058.61,10/15/1995,15/04/2035,13/12/1985
IDA16090,AFRICA EAST,"Congo, Democratic Republic of",Fully Repaid,0.75,XDR,P003047,SEEDS,14900000,5710651.42,0,12345631.52,14277186.38,11/01/1995,01/05/2035,19/09/1985
IDA16100,AFRICA EAST,Mozambique,Fully Repaid,0.75,XDR,P001760,REHABILITATION PROGRAM,45000000,341362.78,0,55574030.29,62058133.64,11/15/1995,15/05/2035,23/07/1985
IDA16110,SOUTH ASIA,India,Repaying,0.75,XDR,P009848,NAT. SOC. FORESTRY I,165000000,10907451.92,0,207430433.3,134972997.8,07/15/1995,15/01/2035,24/09/1985
IDA16120,AFRICA EAST,Somalia,Repaying,0.75,XDR,P002481,AGRI. INPUTS I,10000000,268754.66,0,10935574.48,8105866.99,11/01/1995,01/05/2035,21/06/1985
IDA16130,SOUTH ASIA,India,Repaying,0.75,XDR,P009822,BODHGHAT - HYDRO,13200000,7508712.61,0,7662981.56,4896699.29,09/15/1994,15/03/2034,24/09/1985
IDA16140,AFRICA EAST,Sudan,Repaying,0.75,XDR,P002617,DROUGHT RECOVERY,20000000,2177852.54,0,20985532.17,15223946.38,11/01/1995,01/05/2035,24/06/1985
IDA16150,EAST ASIA AND PACIFIC,Myanmar,Repaying,0.75,XDR,P003365,TIMBER DISTRIBUTION,17750000,1387566.09,0,21834057.64,14598995.55,12/01/1995,01/06/2035,01/10/1985
IDA16160,EAST ASIA AND PACIFIC,Myanmar,Repaying,0.75,XDR,P003364,SEEDS,14500000,499475.76,0,19713897.2,12425819.14,12/01/1995,01/06/2035,01/10/1985
IDA16170,MIDDLE EAST AND NORTH AFRICA,"Yemen, Republic of",Repaying,0.75,XDR,P005874,HIGHWAYS IV,14400000,899517.42,0,17904561.09,11872209.19,12/15/1995,15/06/2035,04/10/1985
IDA16180,AFRICA WEST,Niger,Fully Repaid,0.75,XDR,P001958,IRRIGATION REHAB.,9300000,423544.32,0,11833472.14,13380097.69,07/01/1995,01/01/2035,22/08/1985
IDA16190,SOUTH ASIA,India,Repaying,0.75,XDR,P009845,W. BENGAL MINOR IRRI,99000000,59595321.09,0,55251756.92,34952806.12,08/01/1995,01/02/2035,27/09/1985
IDA16200,AFRICA EAST,Burundi,Fully Repaid,0.75,XDR,P000190,FORESTRY II,12800000,2201768.83,0,14078514.62,15948970.72,10/15/1995,15/04/2035,13/08/1985
IDA16210,SOUTH ASIA,India,Repaying,0.75,XDR,P009893,MAHARASHTRA IRRIG. I,160000000,31181485.99,0,187751981.3,114822557.2,07/15/1995,15/01/2035,05/12/1985
IDA16220,SOUTH ASIA,India,Repaying,0.75,XDR,P009858,KERALA WATER SUPPLY,41000000,20193871.8,0,28978119.78,18345356.18,01/01/1996,01/07/2035,24/09/1985
IDA16230,SOUTH ASIA,India,Repaying,0.75,XDR,P009852,W. BENGAL POPULATION,51000000,13417444.14,0,49891560.35,32920102.75,08/15/1995,15/02/2035,24/09/1985
IDA16240,AFRICA EAST,Sudan,Repaying,0.75,XDR,P002596,POWER REHABIL.,30000000,71695.35,0,40241422.92,24919954.99,01/01/1996,01/07/2035,17/10/1985
IDA16250,AFRICA EAST,Burundi,Fully Repaid,0.75,XDR,P000192,WATER SUPPL.II,9500000,0,0,12622377.39,14222714.67,02/15/1996,15/08/2035,11/10/1985
IDA16260,AFRICA EAST,Malawi,Fully Repaid,0.75,XDR,P001626,EXT. PLANNING,11600000,496231.89,0,15034054.7,16460173.31,11/01/1995,01/05/2035,20/12/1985
IDA16270,AFRICA EAST,Zambia,Fully Repaid,0.75,XDR,P003213,TAZAMA PIPELINE REHAB.ENG.,3100000,504912.95,0,3210942,3667414.58,02/01/1996,01/08/2035,16/10/1985
IDA16280,AFRICA WEST,Ghana,Fully Repaid,0.75,XDR,P000868,POWER,28000000,773.14,0,34874863.36,39415880.91,03/01/1996,01/09/2035,23/10/1985
IDA16290,AFRICA WEST,Mali,Fully Repaid,0.75,XDR,P001717,HIGHWAYS V,48600000,0,0,69448907.19,74040577.91,10/01/1995,01/04/2035,04/11/1985
IDA16300,AFRICA EAST,Zambia,Fully Repaid,0.75,XDR,P003189,IND.REORIENTATION,20000000,538291.79,0,22533870.66,28573472.65,11/01/1995,01/05/2035,23/10/1985
IDA16310,SOUTH ASIA,India,Repaying,0.75,XDR,P009847,NATIONAL AGRIC. RES.,72100000,15008220.36,0,76492010.89,46645069.17,01/15/1996,15/07/2035,25/02/1986
IDA16320,AFRICA WEST,Senegal,Fully Repaid,0.75,XDR,P002324,IRRIGATION T.A.,4900000,2370084.18,0,3159056,3545539.49,01/01/1996,01/07/2035,07/01/1986
IDA16330,SOUTH ASIA,Bangladesh,Repaying,0.75,XDR,P009450,RURAL ELECT. II,79000000,17412163.07,0,80067472.35,50421512.64,04/15/1996,15/10/2035,19/12/1985
IDA16340,SOUTH ASIA,Bangladesh,Repaying,0.75,XDR,P009453,FORESTRY II,28000000,9928377.11,0,22773629.83,14806766.46,04/15/1996,15/10/2035,19/12/1985
IDA16350,AFRICA WEST,Guinea,Fully Repaid,0.75,XDR,P001038,GUECKEDOU AGRIC.DEVT,6600000,70418.13,0,8640304.07,10124289.34,05/01/1996,01/11/2035,27/12/1985
IDA16360,AFRICA WEST,Guinea,Fully Repaid,0.75,XDR,P001042,FIRST AG SERVICES,7500000,2011419.25,0,7202216.85,8495303.45,05/01/1996,01/11/2035,27/12/1985
IDA16370,AFRICA WEST,Guinea,Fully Repaid,0.75,XDR,P001039,MINERAL SECTOR MGMT,3900000,4090.11,0,4703996,5637962.84,03/01/1996,01/09/2035,08/04/1986
IDA16380,AFRICA WEST,Senegal,Fully Repaid,0.75,XDR,P003000,REG. MGMT.SCHOOL,5500000,3217.24,0,7099554.24,8027987.44,03/15/1996,15/09/2035,07/01/1986
IDA16390,AFRICA EAST,Sudan,Repaying,0.75,XDR,P002597,EXTENSION/RESEARCH,22000000,4592159.23,0,22104999.47,13569356.7,05/15/1996,15/11/2035,10/03/1986
IDA16400,AFRICA EAST,Sudan,Repaying,0.75,XDR,P002613,WEST.SAVANN II,10600000,2742299.73,0,10150921.67,6233930.4,05/15/1996,15/11/2035,10/03/1986
IDA16410,AFRICA EAST,Rwanda,Fully Repaid,0.75,XDR,P002218,HWYS. VI,11000000,266730.36,0,14023136.05,15250956.3,05/01/1996,01/11/2035,09/01/1986
IDA16420,EAST ASIA AND PACIFIC,China,Repaying,0.75,XDR,P003439,RURAL CREDIT II,90000000,0,0,108913983.3,117191956.6,05/15/1996,15/11/2035,03/01/1986
IDA16430,SOUTH ASIA,India,Repaying,0.75,XDR,P009856,GUJARAT URBAN,62000000,12465738.3,0,64666353.9,39522472.77,04/01/1996,01/10/2035,15/04/1986
IDA16440,AFRICA EAST,Malawi,Fully Repaid,0.75,XDR,P001628,SAL III,30000000,55728.27,0,31949725.91,41081829.63,05/01/1996,01/11/2035,20/12/1985
IDA16450,MIDDLE EAST AND NORTH AFRICA,"Yemen, Republic of",Repaying,0.75,XDR,P005802,TECHNICAL TRAINING,12700000,8403298.57,0,5452874.91,3430183.45,03/01/1996,01/09/2035,09/05/1986
IDA16460,SOUTH ASIA,Pakistan,Repaying,0.75,XDR,P010250,INDUS. CR. II,2000000,677717.91,0,1739849.24,1118942.67,01/15/1996,15/07/2035,12/02/1986
IDA16470,AFRICA EAST,Somalia,Repaying,0.75,XDR,P002482,LIVESTK.HEALTH SERV.,4300000,3419051.71,0,1082402.63,675263.72,05/01/1996,01/11/2035,05/02/1986
IDA16480,SOUTH ASIA,Bangladesh,Repaying,0.75,XDR,P009451,POWER TRANSM. & DIST,56000000,12627896.26,0,53657403.52,34231569.76,06/01/1996,01/12/2035,14/02/1986
IDA16490,SOUTH ASIA,Bangladesh,Repaying,0.75,XDR,P009458,POPULATION III,78000000,0,0,101025484.6,63679122.75,05/15/1996,15/11/2035,14/02/1986
IDA16500,AFRICA EAST,Rwanda,Fully Repaid,0.75,XDR,P002215,BRD IV,9000000,2146797.62,0,8553707.15,9449399.96,04/01/1996,01/10/2035,30/01/1986
IDA16510,SOUTH ASIA,Bangladesh,Repaying,0.75,XDR,P009446,SHRIMP CULTURE PROJECT,22000000,7536157.89,0,18116794.73,11445397.3,06/01/1996,01/12/2035,14/02/1986
IDA16520,SOUTH ASIA,Pakistan,Repaying,0.75,XDR,P010251,KARACHI SPECIAL DEVT,70000000,4506237.8,0,83535802.19,51680990.75,05/15/1996,15/11/2035,24/02/1986
IDA16530,AFRICA WEST,Ghana,Fully Repaid,0.75,XDR,P000876,HEALTH&EDUC.REHAB.,15000000,0,0,17896751.79,20162215.69,06/15/1996,15/12/2035,31/01/1986
IDA16540,AFRICA WEST,Mali,Fully Repaid,0.75,XDR,P001720,FORESTRY II,6300000,7263.76,0,7641251.92,8607290.15,04/15/1996,15/10/2035,14/03/1986
IDA16550,SOUTH ASIA,Bangladesh,Repaying,0.75,XDR,P009449,PROGRAM CREDIT XIII,200000000,0,0,231729464.8,153920398.3,07/15/1996,15/01/2036,14/02/1986
IDA16560,AFRICA WEST,Senegal,Fully Repaid,0.75,XDR,P002334,SAC II,20000000,0,0,21756066.98,26731558.93,08/01/1996,01/02/2036,26/02/1986
IDA16570,EAST ASIA AND PACIFIC,Samoa,Repaying,0.75,XDR,P004854,MULTI-PROJECT LOAN,2500000,19.27,0,3140418.7,1948262.73,02/01/1996,01/08/2035,19/02/1986
IDA16580,AFRICA WEST,Mauritania,Fully Repaid,0.75,XDR,P001833,LIVESTOCK II,7600000,3263095.73,0,5676074.74,6003018.24,05/15/1996,15/11/2035,24/04/1986
IDA16590,AFRICA WEST,Guinea,Fully Repaid,0.75,XDR,P001040,SAL I,25000000,0,0,29087708.55,34980505.54,05/15/1996,15/11/2035,27/02/1986
IDA16600,AFRICA WEST,Niger,Fully Repaid,0.75,XDR,P001961,SAC,20000000,0,0,23188111.19,26734933.05,05/15/1996,15/11/2035,14/03/1986
IDA16610,AFRICA EAST,Madagascar,Fully Repaid,0.75,XDR,P001506,ACC. AUD. II,10300000,4094007.56,0,8104233.05,8357710.2,04/01/1996,01/10/2035,16/04/1986
IDA16620,AFRICA EAST,Zambia,Fully Repaid,0.75,XDR,P003207,FERTI. RESTR.,10000000,0,0,12856803.8,14167900.73,08/01/1996,01/02/2036,09/04/1986
IDA16630,EAST ASIA AND PACIFIC,China,Repaying,0.75,XDR,P003499,DFC III,25000000,0,0,28729771.64,31817379.2,06/15/1996,15/12/2035,16/04/1986
IDA16640,EAST ASIA AND PACIFIC,China,Repaying,0.75,XDR,P003496,TECH.COOP. CREDIT II,20000000,510053.82,0,24138581.29,24104307.55,09/01/1996,01/03/2036,16/04/1986
IDA16650,SOUTH ASIA,India,Repaying,0.75,XDR,P009843,A.P. IRRIGATION II,140000000,0,0,176939751.7,107818711.3,04/01/1996,01/10/2035,28/05/1986
IDA16660,EAST ASIA AND PACIFIC,Vanuatu,Repaying,0.75,XDR,P004815,MULTIPROJ-ADB,2000000,4991.49,0,2492742.8,1561003.94,09/15/1996,15/03/2036,01/05/1986
IDA16670,MIDDLE EAST AND NORTH AFRICA,"Yemen, Republic of",Repaying,0.75,XDR,P005818,TIHAMA V,10000000,1111111.11,0,11488826.47,6606216.28,07/01/1996,01/01/2036,09/05/1986
IDA16680,AFRICA WEST,Niger,Fully Repaid,0.75,XDR,P001965,HEALTH,27800000,328074.64,0,34321677.24,36236483.97,05/15/1996,15/11/2035,14/04/1986
IDA16690,AFRICA EAST,Rwanda,Fully Repaid,0.75,XDR,P002214,GITARAMA SVCS.AGR.,12700000,2987698.73,0,11844713.53,13071275.09,05/01/1996,01/11/2035,23/05/1986
IDA16700,SOUTH ASIA,Pakistan,Repaying,0.75,XDR,P010252,2ND VOC. TRAINING,40200000,9559034.03,0,38798832.27,23047074.92,07/15/1996,15/01/2036,15/05/1986
IDA16710,EAST ASIA AND PACIFIC,China,Repaying,0.75,XDR,P003443,PROVINCIAL UNIVERSIT,120000000,0,0,140498669.2,148626962.8,08/01/1996,01/02/2036,01/07/1986
IDA16720,AFRICA WEST,Ghana,Fully Repaid,0.75,XDR,P000889,IND. SECTOR ADJ CREDIT,28500000,0,0,32768610.34,37538294.17,08/15/1996,15/02/2036,17/04/1986
IDA16730,AFRICA EAST,Kenya,Repaying,0.75,XDR,P001301,EDUC.VI,37500000,0,0,48559282.46,28814392.78,08/15/1996,15/02/2036,11/07/1986
IDA16740,AFRICA WEST,Ghana,Fully Repaid,0.75,XDR,P000872,PORTS,24500000,2566.06,0,29377719.08,32707192.95,09/01/1996,01/03/2036,04/04/1986
IDA16750,AFRICA EAST,Kenya,Repaying,0.75,XDR,P001321,PETROLEUM EXP. T.A.,6000000,10459.84,0,7371197.67,4518680.69,08/15/1996,15/02/2036,11/07/1986
IDA16760,AFRICA EAST,Ethiopia,Fully Repaid,0.75,XDR,P000730,PORT PROJECT,5500000,144816.95,0,6456874.61,7111521.54,09/15/1996,15/03/2036,03/07/1986
IDA16770,AFRICA WEST,Mali,Fully Repaid,0.75,XDR,P001724,URBAN II,28000000,160802.3,0,33562563.67,36592367.67,09/01/1996,01/03/2036,01/07/1986
IDA16780,AFRICA EAST,Rwanda,Fully Repaid,0.75,XDR,P002216,FAMILY HEALTH,10800000,0,0,13522352.84,14315284.41,05/01/1996,01/11/2035,23/05/1986
IDA16790,AFRICA EAST,Zambia,Fully Repaid,0.75,XDR,P003193,TAS II,8000000,1328019.51,0,8482627.24,8889797.67,04/15/1996,15/10/2035,02/05/1986
IDA16800,EAST ASIA AND PACIFIC,China,Repaying,0.75,XDR,P003459,RAILWAYS III,70000000,0,0,81936818.41,86626988.72,07/15/1996,15/01/2036,16/10/1986
IDA16810,AFRICA WEST,Central African Republic,Fully Repaid,0.75,XDR,P000452,NATL. LIVESTOCK,11900000,0,0,13670205.46,15785141.55,10/01/1996,01/04/2036,29/04/1986
